Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
master-cleanse-a-conspiracy-of-healers-essential-oil-blend,Master Cleanse - A Conspiracy of Healers - Essential Oil Blend ,"I met a Buddha. I climbed from a Lotus Flower Pond, up a hill, using the granite stepping stones, to his Pagoda. While I climbed, he showed me what looked like piano keys, black and white, floating connected in odd configurations in the sky above me. He told me, while pointing at them, that the black and white keys were all LOVE.",Wild Woman Medicine Show,product,"Line: Master Cleanse, Blend: A Conspiracy of Healers, Product: Essential Oil Blend",true,Size,15ml,,,,,Master Cleanse - A Conspiracy of Healers - Essential Oil Blend - 15ml,15,,0,deny,manual,,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20A%20Conspiracy%20of%20Healers.png,1,Master Cleanse - A Conspiracy of Healers - Essential Oil Blend ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20A%20Conspiracy%20of%20Healers.png,g,,,archived
master-cleanse-beauty-and-truth-essential-oil-blend,Master Cleanse - Beauty and Truth - Essential Oil Blend ,"Amidst the work of our daily practice we find moments of Bright, Light, Epiphanies, and Joy. Give these the full Power of Attention and they will grow and become a life's Work. Let these moments come and go easily, bless them and make room for more.",Wild Woman Medicine Show,product,"Line: Master Cleanse, Blend: Beauty and Truth, Product: Essential Oil Blend",true,Size,15ml,,,,,Master Cleanse - Beauty and Truth - Essential Oil Blend - 15ml,15,,0,deny,manual,40,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Beauty%20and%20Truth.png,1,Master Cleanse - Beauty and Truth - Essential Oil Blend ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Beauty%20and%20Truth.png,g,,,active
master-cleanse-blue-star-essential-oil-blend,Master Cleanse - Blue Star - Essential Oil Blend ,"Having a Knowing, Faith and Belief in The Path aligns us with the Pure Force of Nature, The Voice of Spirit and moves us with the Power of our convictions. Be prepared to Stand your Ground.",Wild Woman Medicine Show,product,"Line: Master Cleanse, Blend: Blue Star, Product: Essential Oil Blend",true,Size,15ml,,,,,Master Cleanse - Blue Star - Essential Oil Blend - 15ml,15,,0,deny,manual,40,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Blue%20Star.png,1,Master Cleanse - Blue Star - Essential Oil Blend ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Blue%20Star.png,g,,,active
master-cleanse-chaos-medicine-essential-oil-blend,Master Cleanse - Chaos Medicine - Essential Oil Blend ,"Chaos Medicine is simply the Knowing that Chaos is the way of the Universe. When we attempt to box Chaos into our need for safety and presumed control of our Lives, we begin to cause disharmony and disease. Faith in the Process.",Wild Woman Medicine Show,product,"Line: Master Cleanse, Blend: Chaos Medicine, Product: Essential Oil Blend",true,Size,15ml,,,,,Master Cleanse - Chaos Medicine - Essential Oil Blend - 15ml,15,,0,deny,manual,40,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Chaos%20Medicine.png,1,Master Cleanse - Chaos Medicine - Essential Oil Blend ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Chaos%20Medicine.png,g,,,active
master-cleanse-community---shaman-2.0-essential-oil-blend,Master Cleanse - Community - Shaman 2.0 - Essential Oil Blend ,"Root, Heart, Crown. Spirit Communities evolve at different and sometimes inopportune times. When Open, these communities are a Blessing. Often these groups manifest in a sense of ""All at Once!"" They are an incredible Force of Healing. Spirit Groups build and Raise the World's Energy Exponentially, releasing the next level of Cultural Amnesia.",Wild Woman Medicine Show,product,"Line: Master Cleanse, Blend: Community - Shaman 2.0, Product: Essential Oil Blend",true,Size,15ml,,,,,Master Cleanse - Community - Shaman 2.0 - Essential Oil Blend - 15ml,15,,0,deny,manual,40,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Community%20-%20Shaman%202.0.png,1,Master Cleanse - Community - Shaman 2.0 - Essential Oil Blend ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Community%20-%20Shaman%202.0.png,g,,,active
master-cleanse-emotional-body-essential-oil-blend,Master Cleanse - Emotional Body - Essential Oil Blend ,"Many of us have learned to put away our bigger emotions for some future magical time when it will be easier to deal with them. Feel them. As time passes, the physical body shifts to carry the weight of this old energy. Leading to: sciatica (loss), stiffness (holding back), exhaustion (carrying the weight), inflammation (anger, grief). When we feel in the moment, it can be embarrassing and upsetting for others and that is OK.",Wild Woman Medicine Show,product,"Line: Master Cleanse, Blend: Emotional Body, Product: Essential Oil Blend",true,Size,15ml,,,,,Master Cleanse - Emotional Body - Essential Oil Blend - 15ml,15,,0,deny,manual,40,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Emotional%20Body.png,1,Master Cleanse - Emotional Body - Essential Oil Blend ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Emotional%20Body.png,g,,,active
master-cleanse-hand-of-the-earth-essential-oil-blend,Master Cleanse - Hand of the Earth - Essential Oil Blend ,"The Sacrum is the fulcrum of the physical body. Babies are first held here and behind the neck. We learn to feel safe and secure in this posture supported with a loved one's hand channeling love energy directly into our physical body. There are times where we could really use more support. Visualize the hand of the Earth cupping your sacrum, gently rocking and soothing. Be supported and healed.",Wild Woman Medicine Show,product,"Line: Master Cleanse, Blend: Hand of the Earth, Product: Essential Oil Blend",true,Size,15ml,,,,,Master Cleanse - Hand of the Earth - Essential Oil Blend - 15ml,15,,0,deny,manual,,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Hand%20of%20the%20Earth.png,1,Master Cleanse - Hand of the Earth - Essential Oil Blend ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Hand%20of%20the%20Earth.png,g,,,archived
master-cleanse-heartbeat-meditation-essential-oil-blend,Master Cleanse - Heartbeat Meditation - Essential Oil Blend ,"Hearing and counting the Heartbeat strengthens our connection to the Earth's Energy Frequency. This in turn exponentially builds intuition and empathy. This Practice releases the boundaries of Time and Space that box us into this one Timeline. As Humanity remembers, the Hundredth Monkey Effect  kicks in and we Open to the All One.",Wild Woman Medicine Show,product,"Line: Master Cleanse, Blend: Heartbeat Meditation, Product: Essential Oil Blend",true,Size,15ml,,,,,Master Cleanse - Heartbeat Meditation - Essential Oil Blend - 15ml,15,,0,deny,manual,,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Heartbeat%20Meditation.png,1,Master Cleanse - Heartbeat Meditation - Essential Oil Blend ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Heartbeat%20Meditation.png,g,,,archived
master-cleanse-hormonal-balance-essential-oil-blend,Master Cleanse - Hormonal Balance - Essential Oil Blend ,"Hormonal imbalances, caused by even the smallest amount of stress and pressure, can lead to PMS, sleep disturbances, morning weepiness, low or non-existent libido, hot flashes and more. A decent sleep, a connection to our bodies' timetable, and the energy to live past our coping skills, we easily reset our systems and find the path to enjoy the adventure of LIFE. Hugs and Hang in there",Wild Woman Medicine Show,product,"Line: Master Cleanse, Blend: Hormonal Balance, Product: Essential Oil Blend",true,Size,15ml,,,,,Master Cleanse - Hormonal Balance - Essential Oil Blend - 15ml,15,,0,deny,manual,40,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Hormonal%20Balance.png,1,Master Cleanse - Hormonal Balance - Essential Oil Blend ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Hormonal%20Balance.png,g,,,active
master-cleanse-love-my-life-essential-oil-blend,Master Cleanse - Love My Life - Essential Oil Blend ,"This blend is a simple gift to ourselves for all of the work. You came here to live your Life in the best way you know how. We always receive what we give attention to. Choose to value your Life, Spirit, and Body before anything else. You are Strong and Able to accurately Choose how and where you offer yor Energy. Embrace Your Adventure.",Wild Woman Medicine Show,product,"Line: Master Cleanse, Blend: Love My Life, Product: Essential Oil Blend",true,Size,15ml,,,,,Master Cleanse - Love My Life - Essential Oil Blend - 15ml,15,,0,deny,manual,,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Love%20My%20Life.png,1,Master Cleanse - Love My Life - Essential Oil Blend ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Love%20My%20Life.png,g,,,archived
master-cleanse-mind/body-release-essential-oil-blend,Master Cleanse - Mind/Body Release - Essential Oil Blend ,"Be Prepared to Sleep. Listening to our Bodies ailments reveals the Spiritual, Emotional and Mental distress we are hiding from. Listening and Paying Attention to our bodies allows the voice to be soft and easy. When ignored, the body feels it needs to YELL to grab our attention causing pain, discomfort, and exhaustion.",Wild Woman Medicine Show,product,"Line: Master Cleanse, Blend: Mind/Body Release, Product: Essential Oil Blend",true,Size,15ml,,,,,Master Cleanse - Mind/Body Release - Essential Oil Blend - 15ml,15,,0,deny,manual,30,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Mind%20Body%20Release.png,1,Master Cleanse - Mind/Body Release - Essential Oil Blend ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Mind%20Body%20Release.png,g,,,active
master-cleanse-mirror-essential-oil-blend,Master Cleanse - Mirror - Essential Oil Blend ,Healing the Shadow Self through seeing it. Shine your Bright Light of Spirit on all those you encounter. Be the Beauty that raises the Energy of All. Release the Seed hidden within your Original Wound. It Heals All.,Wild Woman Medicine Show,product,"Line: Master Cleanse, Blend: Mirror, Product: Essential Oil Blend",true,Size,15ml,,,,,Master Cleanse - Mirror - Essential Oil Blend - 15ml,15,,0,deny,manual,,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Mirror.png,1,Master Cleanse - Mirror - Essential Oil Blend ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Mirror.png,g,,,archived
master-cleanse-physical-body-essential-oil-blend,Master Cleanse - Physical Body - Essential Oil Blend ,"Physical stress and pain is an effective way to keep others at bay. ""Don't Touch Me!"" This practice attempts to close the doors on our original trauma memories. Similar to a young child covering their eyes to hide, thinking they cant be seen if they cant see. Release the Protective Inflammation and walk one more step toward the freedom of the Next Adventure.",Wild Woman Medicine Show,product,"Line: Master Cleanse, Blend: Physical Body, Product: Essential Oil Blend",true,Size,15ml,,,,,Master Cleanse - Physical Body - Essential Oil Blend - 15ml,15,,0,deny,manual,38,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Physical%20Body.png,1,Master Cleanse - Physical Body - Essential Oil Blend ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Physical%20Body.png,g,,,active
master-cleanse-psychic-protection-essential-oil-blend,Master Cleanse - Psychic Protection - Essential Oil Blend ,"It is very easy to pick up on others Emotions and Physical Symptoms. It is a good practice to build Energetic Boundaries that serve us when we are distracted. Visualize an upside down Quick Silver Egg around you. The Quick Silver Energy moves and shifts to keep your Energy Clear. As you build your Practice, you can change the Colour. Purple for Intuition, Pink for Love, Black for Creativity, Brown for Grounding, Green for Growth and Change.   ",Wild Woman Medicine Show,product,"Line: Master Cleanse, Blend: Psychic Protection, Product: Essential Oil Blend",true,Size,15ml,,,,,Master Cleanse - Psychic Protection - Essential Oil Blend - 15ml,15,,0,deny,manual,38,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Psychic%20Protection.png,1,Master Cleanse - Psychic Protection - Essential Oil Blend ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Psychic%20Protection.png,g,,,active
master-cleanse-sexual-healing-essential-oil-blend,Master Cleanse - Sexual Healing - Essential Oil Blend ,"Sexual intercourse is a Gift of Universal Love between consenting adults. Embrace a return to the freedom, beauty & ecstacy of physical union. Single-Dual-Multiple Sexual Energy Feeds us, Moves us and brings to life all that is True and Mutable. Sexual Energy Heals on all levels and is Mirrored to the World.",Wild Woman Medicine Show,product,"Line: Master Cleanse, Blend: Sexual Healing, Product: Essential Oil Blend",true,Size,15ml,,,,,Master Cleanse - Sexual Healing - Essential Oil Blend - 15ml,15,,0,deny,manual,32,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Sexual%20Healing.png,1,Master Cleanse - Sexual Healing - Essential Oil Blend ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Sexual%20Healing.png,g,,,active
master-cleanse-shaman-essential-oil-blend,Master Cleanse - Shaman - Essential Oil Blend ,"The unprotected, uncommitted, distracted body picks up energetic hooks all day, every day. It is the individual's responsibility to keep themselves clear of these hooks. To live an unfettered life. Visualize the hooks losing their barbs and release. See them honorably planted into the Earth. Give thanks for the lessons learned. Send them Universal Love on their Journeys. Breathe their connection into the Earth as They embrace their own Connection.",Wild Woman Medicine Show,product,"Line: Master Cleanse, Blend: Shaman, Product: Essential Oil Blend",true,Size,15ml,,,,,Master Cleanse - Shaman - Essential Oil Blend - 15ml,15,,0,deny,manual,40,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Shaman.png,1,Master Cleanse - Shaman - Essential Oil Blend ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Shaman.png,g,,,active
master-cleanse-sol-warrior-essential-oil-blend,Master Cleanse - Sol-Warrior - Essential Oil Blend ,"You were born for this. Two Monsters Meeting at the Top of the Mountain The LIGHT and the DARK for generations we have built to this point. Remembering and Awakening to this Time  Humanity's Evolution Candle Burning at Both Ends. Opposite energies burning toward each other over Millennia. The Value of each being equal, it is the disconnect we Heal. Divergent Paths cross. The Balance is in the Middle Time. Some go Left. Some go Right. The Core Builds the New Generation. Grandmas Lead the Way",Wild Woman Medicine Show,product,"Line: Master Cleanse, Blend: Sol-Warrior, Product: Essential Oil Blend",true,Size,15ml,,,,,Master Cleanse - Sol-Warrior - Essential Oil Blend - 15ml,15,,0,deny,manual,,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Sol-Warrior.png,1,Master Cleanse - Sol-Warrior - Essential Oil Blend ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Sol-Warrior.png,g,,,archived
master-cleanse-soul-strings---the-key-essential-oil-blend,Master Cleanse - Soul Strings - The Key - Essential Oil Blend ,"When two or more embrace as: The Other, The One, our Soul Strings open and The Key Turns. A Soul String Connection can occur with a plant, tree, pet, acquaintance, family member, or Lover. Soul Strings run the length of the Body, most times they are white, other times different colours. Each Body has a different configuration, like finger prints. When two Beings line up and sync their strings together there is an experience of an escape from the Physical and the generous melding of the souls. The Key Turns. We are Open, Free, One.",Wild Woman Medicine Show,product,"Line: Master Cleanse, Blend: Soul Strings - The Key, Product: Essential Oil Blend",true,Size,15ml,,,,,Master Cleanse - Soul Strings - The Key - Essential Oil Blend - 15ml,15,,0,deny,manual,40,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Soul%20Strings%20-%20The%20Key.png,1,Master Cleanse - Soul Strings - The Key - Essential Oil Blend ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Soul%20Strings%20-%20The%20Key.png,g,,,active
master-cleanse-spirit/soul-retrieval-essential-oil-blend,Master Cleanse - Spirit/Soul Retrieval - Essential Oil Blend ,"A practice healing trauma. Return to source. Forgive self. Ensure that your Physical Vessel is a safe Haven for your Spirit/Soul. Do the work. Let your self medication, when triggered, be choosing a New Focus/Direction.",Wild Woman Medicine Show,product,"Line: Master Cleanse, Blend: Spirit/Soul Retrieval, Product: Essential Oil Blend",true,Size,15ml,,,,,Master Cleanse - Spirit/Soul Retrieval - Essential Oil Blend - 15ml,15,,0,deny,manual,85,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Spirit%20Soul%20Retrieval.png,1,Master Cleanse - Spirit/Soul Retrieval - Essential Oil Blend ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Spirit%20Soul%20Retrieval.png,g,,,active
master-cleanse-surrender-essential-oil-blend,Master Cleanse - Surrender - Essential Oil Blend ,"A Season for Everything. You are exactly where you need to be, doing exactly what you need to do, otherwise, you'd be Somewhere Else doing Something Else. Surrender and Shift Happens. The concept of Spiritual Surrender equals releasing our learning around how Struggle has Value.�""If I am Struggling my Life has Value."" �Releasing Struggle looks like Rolling back and lowering the shoulders from the ears. Release attachment to Drama, let go of connection to life being HARD. It gets simpler and easier.",Wild Woman Medicine Show,product,"Line: Master Cleanse, Blend: Surrender, Product: Essential Oil Blend",true,Size,15ml,,,,,Master Cleanse - Surrender - Essential Oil Blend - 15ml,15,,0,deny,manual,28,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Surrender.png,1,Master Cleanse - Surrender - Essential Oil Blend ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS%20-%20Essential%20Oil%20Blend%20-%2015ml%20-%20Master%20Cleanse%20-%20Surrender.png,g,,,active
