,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,,,,,Product Line,Product Type,Product Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
vintage-litsea-cubeba-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Litsea_Cubeba_-_Front.png,1,Vintage - Litsea Cubeba - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Litsea_Cubeba_-_Front.png,g,,,active
vintage-maple-syrup-fragrance-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Maple_Syrup_-_Front.png,1,Vintage - Maple Syrup - Fragrance Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Maple_Syrup_-_Front.png,g,,,active
vintage-marjoram-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Marjoram_-_Front.png,1,Vintage - Marjoram - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Marjoram_-_Front.png,g,,,active
vintage-melissa-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Melissa_-_Front.png,1,Vintage - Melissa - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Melissa_-_Front.png,g,,,active
vintage-myrtle-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Myrtle_-_Front.png,1,Vintage - Myrtle - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Myrtle_-_Front.png,g,,,active
vintage-ocean-breeze-fragrance-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Ocean_Breeze_-_Front.png,1,Vintage - Ocean Breeze - Fragrance Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Ocean_Breeze_-_Front.png,g,,,active
vintage-opium-fragrance-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Opium_-_Front.png,1,Vintage - Opium - Fragrance Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Opium_-_Front.png,g,,,active
vintage-palmarosa-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Palmarosa_-_Front.png,1,Vintage - Palmarosa - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Palmarosa_-_Front.png,g,,,active
vintage-palo-santo-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Palo_Santo_-_Front.png,1,Vintage - Palo Santo - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Palo_Santo_-_Front.png,g,,,active
vintage-patchouli-light-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Patchouli_Light_-_Front.png,1,Vintage - Patchouli Light - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Patchouli_Light_-_Front.png,g,,,active
vintage-peaches-&-cream-fragrance-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Peaches_&_Cream_-_Front.png,1,Vintage - Peaches & Cream - Fragrance Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Peaches_&_Cream_-_Front.png,g,,,active
vintage-pennyroyal-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Pennyroyal_-_Front.png,1,Vintage - Pennyroyal - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Pennyroyal_-_Front.png,g,,,active
vintage-pine-scotch-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Pine_Scotch_-_Front.png,1,Vintage - Pine Scotch - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Pine_Scotch_-_Front.png,g,,,active
vintage-pumpkin-pie-fragrance-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Pumpkin_Pie_-_Front.png,1,Vintage - Pumpkin Pie - Fragrance Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Pumpkin_Pie_-_Front.png,g,,,active
vintage-raspberry-fragrance-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Raspberry_-_Front.png,1,Vintage - Raspberry - Fragrance Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Raspberry_-_Front.png,g,,,active
vintage-red-rose-fragrance-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Red_Rose_-_Front.png,1,Vintage - Red Rose - Fragrance Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Red_Rose_-_Front.png,g,,,active
vintage-remembering-fragrance-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Remembering_-_Front.png,1,Vintage - Remembering - Fragrance Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Remembering_-_Front.png,g,,,active
vintage-rose-geranium-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Rose_Geranium_-_Front.png,1,Vintage - Rose Geranium - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Rose_Geranium_-_Front.png,g,,,active
vintage-rosemary-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Rosemary_-_Front.png,1,Vintage - Rosemary - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Rosemary_-_Front.png,g,,,active
vintage-rosewood-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Rosewood_-_Front.png,1,Vintage - Rosewood - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Rosewood_-_Front.png,g,,,active
vintage-spearmint-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Spearmint_-_Front.png,1,Vintage - Spearmint - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Spearmint_-_Front.png,g,,,active
vintage-spring-magnolia-fragrance-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Spring_Magnolia_-_Front.png,1,Vintage - Spring Magnolia - Fragrance Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Spring_Magnolia_-_Front.png,g,,,active
vintage-sweet-birch-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Sweet_Birch_-_Front.png,1,Vintage - Sweet Birch - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Sweet_Birch_-_Front.png,g,,,active
vintage-sweet-orange-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Sweet_Orange_-_Front.png,1,Vintage - Sweet Orange - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Sweet_Orange_-_Front.png,g,,,active
vintage-tea-tree-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Tea_Tree_-_Front.png,1,Vintage - Tea Tree - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Tea_Tree_-_Front.png,g,,,active
vintage-temptation-fragrance-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Temptation_-_Front.png,1,Vintage - Temptation - Fragrance Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Temptation_-_Front.png,g,,,active
vintage-vetiver-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Vetiver_-_Front.png,1,Vintage - Vetiver - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Vetiver_-_Front.png,g,,,active
vintage-water-crystal-fragrance-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Water_Crystal_-_Front.png,1,Vintage - Water Crystal - Fragrance Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Water_Crystal_-_Front.png,g,,,active
vintage-white-rose-fragrance-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_White_Rose_-_Front.png,1,Vintage - White Rose - Fragrance Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_White_Rose_-_Front.png,g,,,active
vintage-winter-fragrance-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Winter_-_Front.png,1,Vintage - Winter - Fragrance Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Winter_-_Front.png,g,,,active
vintage-wormwood-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Wormwood_-_Front.png,1,Vintage - Wormwood - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Wormwood_-_Front.png,g,,,active
vintage-yarrow-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Yarrow_-_Front.png,1,Vintage - Yarrow - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Yarrow_-_Front.png,g,,,active
vintage-ylang-ylang-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Ylang_Ylang_-_Front.png,1,Vintage - Ylang Ylang - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Ylang_Ylang_-_Front.png,g,,,active
,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_And_Now_For_The_Rest_Of_The_Story_-_Front.png,1,Vintage - And Now For The Rest Of The Story - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_And_Now_For_The_Rest_Of_The_Story_-_Front.png,g,,,active
,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Love_Sweat_and_Tears_-_Front.png,1,Vintage - Love Sweat and Tears - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Love_Sweat_and_Tears_-_Front.png,g,,,active
,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Sex_On_The_Beach_-_Front.png,1,Vintage - Sex On The Beach - Fragrance Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Sex_On_The_Beach_-_Front.png,g,,,active
,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Smoke_on_the_Water_-_Front.png,1,Vintage - Smoke on the Water - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Smoke_on_the_Water_-_Front.png,g,,,active
