Brand,Brand_Short,Brand_Subtitle,Line,Title,Description,Subtitle_1,#Subtitle_1_Visible,Subtitle_2,#Subtitle_2_Visible,@Image,Oils
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Traditional,Bad Kitty,,The bath your mother,TRUE,warned you about,TRUE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Bad Kitty.ai,"palmarosa, neroli, and wintergreen"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Traditional,Bliss,,Napping in the sun,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Bliss.ai,"rose geranium, ylang-ylang, and peppermint"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Traditional,Detox,,Be prepared to sleep,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Detox.ai,"rosemary, bergamot, ginger, and eucalyptus"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Traditional,Dragon's Blood,,Focus and direction,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Dragon's Blood.ai,dragon's blood
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Traditional,Dreamtime,,Find messages in your dreams,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Dreamtime.ai,"wormwood, vetiver, valerian, rosewood, lavender, and eucalyptus"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Traditional,Earth,,Relief of pain and snoring,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Earth.ai,"litsea cubeba, black pepper, pine, and marjoram"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Traditional,Freedom,,Be prepared to sleep,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Freedom.ai,"bergamot, eucalyptus, rosemary and ginger"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Traditional,Intuition,,Improves with practice,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Intuition.ai,"wormwood, vetiver, valerian, rosewood, lavender and eucalyptus"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Traditional,Keep Calm,,And Transmute,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Keep Calm.ai,"black pepper, pine, and marjoram"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Traditional,Lavender,,"Calming, soothing, and relaxing",TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Lavender.ai,"lavender, clary sage, and ylang-ylang"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Traditional,Lime,,Be prepared to clean the tub!,TRUE,Lime removes dead skin,TRUE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Lime.ai,lime
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Traditional,Master Zing,,Be prepared to dance,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Master Zing.ai,"five fold orange, five fold lemon, mandarin, clove, and patchouli"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Traditional,Melissa,,Valium in the bath,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Melissa.ai,melissa
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Traditional,Mint,,Refreshing,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Mint.ai,"peppermint, sweet birch, wintergreen and spearmint"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Traditional,Nag Champa,,"Love, light, and peace",TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Nag Champa.ai,nag champa
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Traditional,Namaste,,We greet the best in each other,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Namaste.ai,"peru balsam, five fold orange, mandarin, lavender, and rosewood"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Traditional,Patience,,Everything that is meant to be will be,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Patience.ai,"balsam, five fold orange, lavender, rosewood, and tangerine"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Traditional,Relax,,Be prepared to sleep,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Relax.ai,"bergamot, eucalyptus, rosemary, and ginger"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Traditional,Rose,,Balancing the core,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Rose.ai,rose
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Traditional,Sage,,Sage is crafted to clear your energy,TRUE,See deeply and serenely into the Universe,TRUE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Sage.ai,"sage, lemon, fennel, rosemary, tea tree, spruce, cedar, and green oak moss"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Traditional,Shine,,Be your own shine,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Shine.ai,"frankincense, myrrh, ylang-ylang"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Traditional,Sweetgrass,,Bring in all the new clear energy,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Sweetgrass.ai,sweetgrass
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Traditional,Tantra,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Tantra.ai,tantra blend
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Traditional,Thieves,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Thieves.ai,"cinnamon, five fold lemon, clove, eucalyptus, and rosemary"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Traditional,Transform,,Sweet and easy evolution,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Transform.ai,"violet, rose, and jasmine"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Traditional,Violet,,Ease of communication,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Violet.ai,violet
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Traditional,Wild Love,,Accept the wild nature,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Wild Love.ai,"patchouli, ylang-ylang, aniseed"
